title,publish_time,authors
Bioethical Implications of Globalization: An International Consortium Project of the European Commission,2006-01-24,"Novotny, Thomas E; Mordini, Emilio; Chadwick, Ruth; Pedersen, J. Martin; Fabbri, Fabrizio; Lie, Reidar; Thanachaiboot, Natapong; Mossialos, Elias; Permanand, Govin"
Public awareness of risk factors for cancer among the Japanese general population: A population-based survey,2006-01-10,"Inoue, Manami; Iwasaki, Motoki; Otani, Tetsuya; Sasazuki, Shizuka; Tsugane, Shoichiro"
ZCURVE_V: a new self-training system for recognizing protein-coding genes in viral and phage genomes,2006-01-10,"Guo, Feng-Biao; Zhang, Chun-Ting"
Evidence of host-virus co-evolution in tetranucleotide usage patterns of bacteriophages and eukaryotic viruses,2006-01-18,"Pride, David T; Wassenaar, Trudy M; Ghose, Chandrabali; Blaser, Martin J"
Sequence specific visual detection of LAMP reactions by addition of cationic polymers,2006-01-10,"Mori, Yasuyoshi; Hirano, Tsuyoshi; Notomi, Tsugunori"
Automated extraction protocol for quantification of SARS-Coronavirus RNA in serum: an evaluation study,2006-02-09,"Chiu, Rossa WK; Jin, Yongjie; Chung, Grace TY; Lui, Wing-bong; Chan, Anthony TC; Lim, Wilina; Dennis Lo, YM"
The Scientific Response to a Pandemic,2006-02-24,"Gronvall, Gigi Kwik; Waldhorn, Richard E; Henderson, D. A"
Identification of Hepta- and Octo-Uridine stretches as sole signals for programmed +1 and −1 ribosomal frameshifting during translation of SARS-CoV ORF 3a variants,2006-02-25,"Wang, Xiaoxing; Wong, Sek-Man; Liu, D. X."
Correlation between the presence of neutralizing antibodies against porcine circovirus 2 (PCV2) and protection against replication of the virus and development of PCV2-associated disease,2006-01-30,"Meerts, Peter; Misinzo, Gerald; Lefebvre, David; Nielsen, Jens; Bøtner, Anette; Kristensen, Charlotte S; Nauwynck, Hans J"
Epstein-barr virus induced cellular changes in nasal mucosa,2006-02-01,"Gelardi, Matteo; Tomaiuolo, Marilena; Cassano, Michele; Besozzi, Gaspare; Fiorella, Maria Luisa; Calvario, Agata; Castellano, Maria Antonia; Cassano, Pasquale"
Virus-mediated autoimmunity in Multiple Sclerosis,2006-02-19,"Grigoriadis, Nikolaos; Hadjigeorgiou, Georgios M"
"Globalization, migration health, and educational preparation for transnational medical encounters",2006-01-30,"Koehn, Peter H"
Developing nucleic acid-based electrical detection systems,2006-03-02,"Gabig-Ciminska, Magdalena"
Specific detection of H5N1 avian influenza A virus in field specimens by a one-step RT-PCR assay,2006-03-02,"Ng, Lisa FP; Barr, Ian; Nguyen, Tung; Noor, Suriani Mohd; Tan, Rosemary Sok-Pin; Agathe, Lora V; Gupta, Sanjay; Khalil, Hassuzana; To, Thanh Long; Hassan, Sharifah Syed; Ren, Ee-Chee"
"Using Ontario's ""Telehealth"" health telephone helpline as an early-warning system: a study protocol",2006-02-15,"Rolland, Elizabeth; Moore, Kieran M; Robinson, Victoria A; McGuinness, Don"
Evolution of the uniquely adaptable lentiviral envelope in a natural reservoir host,2006-03-20,"Demma, LJ; Vanderford, TH; Logsdon, JM; Feinberg, MB; Staprans, SI"
Nonhuman Primate Models for SARS,2006-04-18,"Haagmans, Bart L; Osterhaus, Albert D. M. E"
Cynomolgus Macaque as an Animal Model for Severe Acute Respiratory Syndrome,2006-04-18,"Lawler, James V; Endy, Timothy P; Hensley, Lisa E; Garrison, Aura; Fritz, Elizabeth A; Lesar, May; Baric, Ralph S; Kulesh, David A; Norwood, David A; Wasieloski, Leonard P; Ulrich, Melanie P; Slezak, Tom R; Vitalis, Elizabeth; Huggins, John W; Jahrling, Peter B; Paragas, Jason"
Prions Adhere to Soil Minerals and Remain Infectious,2006-04-14,"Johnson, Christopher J; Phillips, Kristen E; Schramm, Peter T; McKenzie, Debbie; Aiken, Judd M; Pedersen, Joel A"
Inhibition of cytokine gene expression and induction of chemokine genes in non-lymphatic cells infected with SARS coronavirus,2006-03-29,"Spiegel, Martin; Weber, Friedemann"
Heterologous expression of Brucella abortus GroEL heat-shock protein in Lactococcus lactis,2006-03-23,"Miyoshi, Anderson; Bermúdez-Humarán, Luis G; Ribeiro, Luciana A; Le Loir, Yves; Oliveira, Sérgio C; Langella, Philippe; Azevedo, Vasco"
Delaying the International Spread of Pandemic Influenza,2006-05-02,"Cooper, Ben S; Pitman, Richard J; Edmunds, W. John; Gay, Nigel J"
Identifying strategies to improve access to credible and relevant information for public health professionals: a qualitative study,2006-04-05,"LaPelle, Nancy R; Luckmann, Roger; Simpson, E Hatheway; Martin, Elaine R"
On pandemics and the duty to care: whose duty? who cares?,2006-04-20,"Ruderman, Carly; Tracy, C Shawn; Bensimon, Cécile M; Bernstein, Mark; Hawryluck, Laura; Shaul, Randi Zlotnik; Upshur, Ross EG"
Insertional protein engineering for analytical molecular sensing,2006-04-03,"Ferraz, Rosa María; Vera, Andrea; Arís, Anna; Villaverde, Antonio"
Immune Protection of Nonhuman Primates against Ebola Virus with Single Low-Dose Adenovirus Vectors Encoding Modified GPs,2006-05-16,"Sullivan, Nancy J; Geisbert, Thomas W; Geisbert, Joan B; Shedlock, Devon J; Xu, Ling; Lamoreaux, Laurie; Custers, Jerome H. H. V; Popernack, Paul M; Yang, Zhi-Yong; Pau, Maria G; Roederer, Mario; Koup, Richard A; Goudsmit, Jaap; Jahrling, Peter B; Nabel, Gary J"
The interferon gamma gene polymorphism +874 A/T is associated with severe acute respiratory syndrome,2006-05-04,"Chong, Wai Po; Ip, WK Eddie; Tso, Gloria Hoi Wan; Ng, Man Wai; Wong, Wilfred Hing Sang; Law, Helen Ka Wai; Yung, Raymond WH; Chow, Eudora Y; Au, KL; Chan, Eric YT; Lim, Wilina; Peiris, JS Malik; Lau, Yu Lung"
Polyadenylation of genomic RNA and initiation of antigenomic RNA in a positive-strand RNA virus are controlled by the same cis-element,2006-05-31,"van Ooij, Mark J. M.; Polacek, Charlotta; Glaudemans, Dirk H. R. F.; Kuijpers, Judith; van Kuppeveld, Frank J. M.; Andino, Raul; Agol, Vadim I.; Melchers, Willem J. G."
Epicatechins Purified from Green Tea (Camellia sinensis) Differentially Suppress Growth of Gender-Dependent Human Cancer Cell Lines,2006-04-25,"Ravindranath, Mepur H.; Saravanan, Thiruverkadu S.; Monteclaro, Clarence C.; Presser, Naftali; Ye, Xing; Selvan, Senthamil R.; Brosman, Stanley"
Microarray-based identification of antigenic variants of foot-and-mouth disease virus: a bioinformatics quality assessment,2006-05-18,"Martín, Verónica; Perales, Celia; Abia, David; Ortíz, Angel R; Domingo, Esteban; Briones, Carlos"
Markers of exacerbation severity in chronic obstructive pulmonary disease,2006-05-10,"Franciosi, Luigi G; Page, Clive P; Celli, Bartolome R; Cazzola, Mario; Walker, Michael J; Danhof, Meindert; Rabe, Klaus F; Pasqua, Oscar E Della"
In vitro inhibition of human influenza A virus replication by chloroquine,2006-05-29,"Ooi, Eng Eong; Chew, Janet Seok Wei; Loh, Jin Phang; Chua, Robert CS"
Amphotropic murine leukemia virus is preferentially attached to cholesterol-rich microdomains after binding to mouse fibroblasts,2006-04-02,"Beer, Christiane; Pedersen, Lene"
Human Monoclonal Antibody Combination against SARS Coronavirus: Synergy and Coverage of Escape Mutants,2006-07-04,"ter Meulen, Jan; van den Brink, Edward N; Poon, Leo L. M; Marissen, Wilfred E; Leung, Cynthia S. W; Cox, Freek; Cheung, Chung Y; Bakker, Arjen Q; Bogaards, Johannes A; van Deventer, Els; Preiser, Wolfgang; Doerr, Hans Wilhelm; Chow, Vincent T; de Kruif, John; Peiris, Joseph S. M; Goudsmit, Jaap"
Selection of a set of reliable reference genes for quantitative real-time PCR in normal equine skin and in equine sarcoids,2006-04-27,"Bogaert, Lies; Van Poucke, Mario; De Baere, Cindy; Peelman, Luc; Gasthuys, Frank; Martens, Ann"
Combined fluticasone propionate and salmeterol reduces RSV infection more effectively than either of them alone in allergen-sensitized mice,2006-05-23,"Singam, Rajeswari; Jena, Prasanna K; Behera, Sumita; Hellermann, Gary R; Lockey, Richard F; Ledford, Dennis; Mohapatra, Shyam S"
"Antibiotic resistance as a global threat: Evidence from China, Kuwait and the United States",2006-04-07,"Zhang, Ruifang; Eggleston, Karen; Rotimi, Vincent; Zeckhauser, Richard J"
The basic principles of migration health: Population mobility and gaps in disease prevalence,2006-05-04,"Gushulak, Brian D; MacPherson, Douglas W"
Quantitative prediction of mouse class I MHC peptide binding affinity using support vector machine regression (SVR) models,2006-03-31,"Liu, Wen; Meng, Xiangshan; Xu, Qiqi; Flower, Darren R; Li, Tongbin"
Silencing Viral Infection,2006-07-25,"Dykxhoorn, Derek M; Lieberman, Judy"
Differentially profiling the low-expression transcriptomes of human hepatoma using a novel SSH/microarray approach,2006-05-31,"Pan, Yi-Shin; Lee, Yun-Shien; Lee, Yung-Lin; Lee, Wei-Chen; Hsieh, Sen-Yung"
Design of microarray probes for virus identification and detection of emerging viruses at the genus level,2006-04-28,"Chou, Cheng-Chung; Lee, Te-Tsui; Chen, Chun-Houh; Hsiao, Hsiang-Yun; Lin, Yi-Ling; Ho, Mei-Shang; Yang, Pan-Chyr; Peck, Konan"
"From Functional Genomics to Functional Immunomics: New Challenges, Old Problems, Big Rewards",2006-07-28,"Braga-Neto, Ulisses M; Marques, Ernesto T. A"
The role of single N-glycans in proteolytic processing and cell surface transport of the Lassa virus glycoprotein GP-C,2006-05-31,"Eichler, Robert; Lenz, Oliver; Garten, Wolfgang; Strecker, Thomas"
"The synergistic effect of IFN-α and IFN-γ against HSV-2 replication in Vero cells is not interfered by the plant antiviral 1-cinnamoyl-3, 11-dihydroxymeliacarpin",2006-06-13,"Petrera, Erina; Coto, Celia E"
CD147 overexpression on synoviocytes in rheumatoid arthritis enhances matrix metalloproteinase production and invasiveness of synoviocytes,2006-02-08,"Zhu, Ping; Lu, Ning; Shi, Zhan-guo; Zhou, Jun; Wu, Zhen-biao; Yang, Yong; Ding, Jin; Chen, Zhi-nan"
Reducing the Impact of the Next Influenza Pandemic Using Household-Based Public Health Interventions,2006-08-08,"Wu, Joseph T; Riley, Steven; Fraser, Christophe; Leung, Gabriel M"
Streptococcus pneumoniae induced c-Jun-N-terminal kinase- and AP-1 -dependent IL-8 release by lung epithelial BEAS-2B cells,2006-07-12,"Schmeck, Bernd; Moog, Kerstin; Zahlten, Janine; van Laak, Vincent; N'Guessan, Philippe Dje; Opitz, Bastian; Rosseau, Simone; Suttorp, Norbert; Hippenstiel, Stefan"
Lung epithelium as a sentinel and effector system in pneumonia – molecular mechanisms of pathogen recognition and signal transduction,2006-07-08,"Hippenstiel, Stefan; Opitz, Bastian; Schmeck, Bernd; Suttorp, Norbert"
Genome Annotation Transfer Utility (GATU): rapid annotation of viral genomes using a closely related reference genome,2006-06-13,"Tcherepanov, Vasily; Ehlers, Angelika; Upton, Chris"
Reliability of case definitions for public health surveillance assessed by Round-Robin test methodology,2006-05-10,"Krause, Gérard; Brodhun, Bonita; Altmann, Doris; Claus, Hermann; Benzler, Justus"
siVirus: web-based antiviral siRNA design software for highly divergent viral sequences,2006-07-01,"Naito, Yuki; Ui-Tei, Kumiko; Nishikawa, Toru; Takebe, Yutaka; Saigo, Kaoru"
Live bacterial vaccines – a review and identification of potential hazards,2006-06-23,"Detmer, Ann; Glenting, Jacob"
Nearest neighbor parameters for Watson–Crick complementary heteroduplexes formed between 2′-O-methyl RNA and RNA oligonucleotides,2006-07-26,"Kierzek, Elzbieta; Mathews, David H.; Ciesielska, Anna; Turner, Douglas H.; Kierzek, Ryszard"
Association of SARS susceptibility with single nucleic acid polymorphisms of OAS1 and MxA genes: a case-control study,2006-07-06,"He, Jing; Feng, Dan; de Vlas, Sake J; Wang, Hongwei; Fontanet, Arnaud; Zhang, Panhe; Plancoulaine, Sabine; Tang, Fang; Zhan, Lin; Yang, Hong; Wang, Tianbao; Richardus, Jan H; Habbema, J Dik F; Cao, Wuchun"
Frequent detection of bocavirus DNA in German children with respiratory tract infections,2006-07-11,"Weissbrich, Benedikt; Neske, Florian; Schubert, Jörg; Tollmann, Franz; Blath, Katharina; Blessing, Kerstin; Kreth, Hans Wolfgang"
SARS and Population Health Technology,2003-06-30,"Eysenbach, Gunther"
The Internet as a Vehicle to Communicate Health Information During a Public Health Emergency: A Survey Analysis Involving the Anthrax Scare of 2001,2004-03-03,"Kittler, Anne F; Hobbs, John; Volk, Lynn A; Kreps, Gary L; Bates, David W"
What Internet Services Would Patients Like From Hospitals During an Epidemic? Lessons From the SARS Outbreak in Toronto,2005-08-03,"Rizo, Carlos A; Lupea, Doina; Baybourdy, Homayoun; Anderson, Matthew; Closson, Tom; Jadad, Alejandro R"
Using simulation for training and to change protocol during the outbreak of severe acute respiratory syndrome,2005-11-24,"Abrahamson, Simon D; Canzian, Sonya; Brunet, Fabrice"
Clinical review: A systematic review of corticosteroid use in infections,2005-11-22,"Aberdein, Jody; Singer, Mervyn"
"Recently published papers: pulmonary care, pandemics, and eugenics in surviving sepsis?",2006-02-01,"Bouch, Christopher; Williams, Gareth"
Epidemiology studies in critical care,2006-04-04,"Martin, Greg"
Diagnostic value of real-time polymerase chain reaction to detect viruses in young children admitted to the paediatric intensive care unit with lower respiratory tract infection,2006-04-12,"van de Pol, Alma C; Wolfs, Tom FW; Jansen, Nicolaas JG; van Loon, Anton M; Rossen, John WA"
"26th International Symposium on Intensive Care and Emergency Medicine, 21–24 March 2006, Brussels, Belgium",2006-05-18,"Wurz, Jeannie"
"Year in review 2005: Critical Care – Respirology: mechanical ventilation, infection, monitoring, and education",2006-06-29,"Haitsma, Jack J; Villar, Jesús; Slutsky, Arthur S"
Model-Based Design of Growth-Attenuated Viruses,2006-09-01,"Lim, Kwang-il; Lang, Tobias; Lam, Vy; Yin, John"
Hospice utilization during the SARS outbreak in Taiwan,2006-08-04,"Chen, Tzeng-Ji; Lin, Ming-Hwai; Chou, Li-Fang; Hwang, Shinn-Jang"
"Ethnoveterinary medicines used for horses in Trinidad and in British Columbia, Canada",2006-08-07,"Lans, Cheryl; Turner, Nancy; Brauer, Gerhard; Lourenco, Grant; Georges, Karla"
Targeted Delivery of siRNA,2006-06-25,"Oliveira, Sabrina; Storm, Gert; Schiffelers, Raymond M."
Delivery Systems for the Direct Application of siRNAs to Induce RNA Interference (RNAi) In Vivo,2006-05-18,"Aigner, Achim"
Surveillance recommendations based on an exploratory analysis of respiratory syncytial virus reports derived from the European Influenza Surveillance System,2006-08-09,"Meerhoff, Tamara J; Fleming, Douglas; Smith, Ann; Mosnier, Anne; van Gageldonk-Lafeber, Arianne B; Paget, W John"
"Factors associated with nosocomial SARS-CoV transmission among healthcare workers in Hanoi, Vietnam, 2003",2006-08-14,"Reynolds, Mary G; Anh, Bach Huy; Thu, Vu Hoang; Montgomery, Joel M; Bausch, Daniel G; Shah, J Jina; Maloney, Susan; Leitmeyer, Katrin C; Huy, Vu Quang; Horby, Peter; Plant, Aileen Y; Uyeki, Timothy M"
Mixing patterns and the spread of close-contact infectious diseases,2006-08-14,"Edmunds, WJ; Kafatos, G; Wallinga, J; Mossong, JR"
Caveolin-1 and -2 in airway epithelium: expression and in situ association as detected by FRET-CLSM,2006-08-11,"Krasteva, Gabriela; Pfeil, Uwe; Drab, Marek; Kummer, Wolfgang; König, Peter"
Genome-wide gene expression profiling of human mast cells stimulated by IgE or FcεRI-aggregation reveals a complex network of genes involved in inflammatory responses,2006-08-16,"Jayapal, Manikandan; Tay, Hwee Kee; Reghunathan, Renji; Zhi, Liang; Chow, Kah Kiong; Rauff, Mary; Melendez, Alirio J"
How long do nosocomial pathogens persist on inanimate surfaces? A systematic review,2006-08-16,"Kramer, Axel; Schwebke, Ingeborg; Kampf, Günter"
SARS: Systematic Review of Treatment Effects,2006-09-12,"Stockman, Lauren J; Bellamy, Richard; Garner, Paul"
A New Arthritis Therapy with Oxidative Burst Inducers,2006-09-12,"Hultqvist, Malin; Olofsson, Peter; Gelderman, Kyra A; Holmberg, Jens; Holmdahl, Rikard"
Empirical Evidence for the Effect of Airline Travel on Inter-Regional Influenza Spread in the United States,2006-09-12,"Brownstein, John S; Wolfe, Cecily J; Mandl, Kenneth D"
Natural products that reduce rotavirus infectivity identified by a cell-based moderate-throughput screening assay,2006-09-01,"Shaneyfelt, Mark E; Burke, Anna D; Graff, Joel W; Jutila, Mark A; Hardy, Michele E"
Climate Change and Human Health Impacts in the United States: An Update on the Results of the U.S. National Assessment,2006-05-18,"Ebi, Kristie L.; Mills, David M.; Smith, Joel B.; Grambsch, Anne"
Are Nonhuman Primates Good Models for SARS?,2006-09-26,"Hogan, Robert J"
S1 gene sequence analysis of a nephropathogenic strain of avian infectious bronchitis virus in Egypt,2006-09-20,"Abdel-Moneim, Ahmed S; El-Kady, Magdy F; Ladman, Brian S; Gelb, Jack"
Combining genetic and biochemical approaches to identify functional molecular contact points,2006-08-10,"Badtke, Matthew P.; Cao, Feng; Tavis, John E."
Multiplexed Genetic Analysis Using an Expanded Genetic Alphabet,2004-11-01,"Johnson, Scott C.; Marshall, David J.; Harms, Gerda; Miller, Christie M.; Sherrill, Christopher B.; Beaty, Edward L.; Lederer, Scott A.; Roesch, Eric B.; Madsen, Gary; Hoffman, Gary L.; Laessig, Ronald H.; Kopish, Greg J.; Baker, Mei Wang; Benner, Steven A.; Farrell, Philip M.; Prudent, James R."
Differentiated cultures of primary hamster tracheal airway epithelial cells,2004,"Rowe, Regina K.; Brody, Steven L.; Pekosz, Andrew"
Individual freedom versus collective responsibility: too many rights make a wrong?,2006-10-02,"Looker, Katharine J; Hallett, Timothy B"
Validation of the Provincial Transfer Authorization Centre database: a comprehensive database containing records of all inter-facility patient transfers in the province of Ontario,2006-10-06,"Robinson, Victoria A; MacDonald, Russell D; Manuel, Doug; Goel, Vivek"
